"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29533","2017-08-19 23:28:46.00","2457985.4783102","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-19_23-28-46_VLT-UT2_X-Shooter_None_1.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","","","","3666.0394176488","22574.626126572","2.9707127586683","Smartt et al. 2017","2017Natur.551...75S","Dereddened with Milky Way extinction, rebinned to 3 Angs per pixel. [Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","51194","2017-08-19 23:31:11.00","2457985.4799884","","VLT-UT2","X-Shooter","Unknown","Jonatan Selsing, James Gillanders","","Y","","","2017gfo_2017-08-19_23-31-11.324_VLT-UT2_X-Shooter_None.dat","","Object","High","None","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","2850","","","","","","","","3272.6415822125","23999.969656","0.36684237856691","Pian et al. 2017","2017Natur.551...67P","This is a re-reduction of the spectra originally published in Pian et al. 2017. The spectrum has been flux-corrected and smoothed. See http://www.engrave-eso.org for more information.","Mr James Gillanders","2019-02-26 18:11:35"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29524","2017-08-20 00:27:14.00","2457985.518912","","ESO-NTT","EFOSC2-NTT","David Homan, Joe Lyman","Kate Maguire","ePESSTO","N","ePESSTO","2100-01-01","2017gfo_2017-08-20_00-27-14_ESO-NTT_EFOSC2-NTT_ePESSTO.asci","2017gfo_2017-08-20_00-27-14_ESO-NTT_EFOSC2-NTT_ePESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","2700","1.5","","1.959","","Gr11","Free","","3292.8450475686","7377.9822713479","4.0406896377639","","",""," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29536","2017-08-20 01:08:00.00","2457985.5472222","","Gemini-S","GMOS-S","NA","Unknown","","Y","","","AT2017gfo_2017-08-20_01-08-00_Gemini-S_GMOS-S_None.dat","","Object","","","Air","Angstrom","1","Other","","600","0","","","","","","","5546.2018421313","9111.6173120729","0.49512782529393","Kasliwal et al. 2017","2017Sci...358.1559K","[Data obtained from:Mansi Kasliwal] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29525","2017-08-20 23:21:13.00","2457986.4730671","","ESO-NTT","EFOSC2-NTT","Joe Lyman, David Homan","Giorgos Leloudas","ePESSTO","N","ePESSTO","2100-01-01","2017gfo_2017-08-20_23-21-13_ESO-NTT_EFOSC2-NTT_ePESSTO.asci","2017gfo_2017-08-20_23-21-13_ESO-NTT_EFOSC2-NTT_ePESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","2700","1","","1.438","","Gr16","OG530","","5933.956249381","9886.2342210161","4.1602926017212","","",""," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29535","2017-08-20 23:21:13.00","2457986.4730671","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-20_23-21-13_ESO-NTT_EFOSC2-NTT_None.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","Gr#11+16","","","3300.6511641763","9889.1968607631","4.0321577090495","Smartt et al. 2017","2017Natur.551...75S","[Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","51195","2017-08-20 23:30:27.00","2457986.4794792","","VLT-UT2","X-Shooter","Unknown","Jonatan Selsing, James Gillanders","","Y","","","2017gfo_2017-08-20_23-30-27.529_VLT-UT2_X-Shooter_None.dat","","Object","High","None","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","3600","","","","","","","","3271.8909262058","23769.376702981","0.36289654899306","Pian et al. 2017","2017Natur.551...67P","This is a re-reduction of the spectra originally published in Pian et al. 2017. The spectrum has been flux-corrected and smoothed. See http://www.engrave-eso.org for more information.","Mr James Gillanders","2019-02-26 18:11:35"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29534","2017-08-20 23:31:12.00","2457986.48","","VLT-UT2","X-Shooter","Service","Jonatan Selsing","","Y","","","AT2017gfo_2017-08-20_23-31-12_VLT-UT2_X-Shooter_None.dat","","Object","","","Air","Angstrom","1","Other","","3600","1","","","","","","","3467.5041893632","24794.94984","0.40828236021664","Pian et al. 2017","2017Natur.551...67P","[Data obtained from:Elena Pian] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29542","2017-08-21 00:15:00.00","2457986.5104167","","Gemini-S","GMOS-S","NA","Unknown","","Y","","","AT2017gfo_2017-08-21_00-15-00_Gemini-S_GMOS-S_None.dat","","Object","","","Air","Angstrom","1","Other","","1440","0","","","","","","","3763.4941071605","9112.1125086659","0.4951507500005","Kasliwal et al. 2017","2017Sci...358.1559K","[Data obtained from:Mansi Kasliwal] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29526","2017-08-21 00:29:40.00","2457986.5206019","","ESO-NTT","EFOSC2-NTT","Joe Lyman, David Homan","Giorgos Leloudas","ePESSTO","N","ePESSTO","2100-01-01","2017gfo_2017-08-21_00-29-40_ESO-NTT_EFOSC2-NTT_ePESSTO.asci","2017gfo_2017-08-21_00-29-40_ESO-NTT_EFOSC2-NTT_ePESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","2700","1.5","","2.042","","Gr11","Free","","3295.8162271269","7380.9534509062","4.0486989333789","","",""," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29538","2017-08-21 23:11:37.00","2457987.4664005","","ESO-NTT","Sofi","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-21_23-11-37_ESO-NTT_Sofi_None.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","","","","9285.8065824007","16308.705988315","6.8583002010879","Smartt et al. 2017","2017Natur.551...75S","[Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29539","2017-08-21 23:25:38.00","2457987.4761343","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-21_23-25-38_VLT-UT2_X-Shooter_None.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","","","","3664.5637318015","22574.428047935","0.50901384431046","Smartt et al. 2017","2017Natur.551...75S","[Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29540","2017-08-21 23:25:38.00","2457987.4761343","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-21_23-25-38_VLT-UT2_X-Shooter_None_0.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","","","","3664.5638308408","22574.428047935","0.50901384164453","Smartt et al. 2017","2017Natur.551...75S","Dereddened with Milky Way extinction. [Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29541","2017-08-21 23:25:38.00","2457987.4761343","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-21_23-25-38_VLT-UT2_X-Shooter_None_1.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","","","","3665.9502822621","22573.83282163","2.9706021271592","Smartt et al. 2017","2017Natur.551...75S","Dereddened with Milky Way extinction, rebinned to 3 Angs per pixel. [Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","51196","2017-08-21 23:28:03.00","2457987.4778125","","VLT-UT2","X-Shooter","Unknown","Jonatan Selsing, James Gillanders","","Y","","","2017gfo_2017-08-21_23-28-03.978_VLT-UT2_X-Shooter_None.dat","","Object","High","None","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","2850","","","","","","","","3273.0466195603","22283.518103694","0.35916250678507","Pian et al. 2017","2017Natur.551...67P","This is a re-reduction of the spectra originally published in Pian et al. 2017. The spectrum has been flux-corrected and smoothed. See http://www.engrave-eso.org for more information.","Mr James Gillanders","2019-02-26 18:11:35"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29537","2017-08-21 23:31:12.00","2457987.48","","VLT-UT1","FORS2","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-21_23-31-12_VLT-UT1_FORS2_None.dat","","Object","","","Air","Angstrom","1","Other","","1800","1","","","","","","","5245.2355924881","8544.740574998","1.6110864172412","Pian et al. 2017","2017Natur.551...67P","[Data obtained from:Elena Pian] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
